street,county,longitude,latitude
21540 Hawthorne Blvd #519,Torrance,-118.3507414,33.8333502
705 N Pacific Coast Hwy,Redondo Beach,-118.3899063,33.8530532
921 S Baldwin Ave,Arcadia,-118.0548796,34.1294354
5900 Sunset Blvd,Los Angeles,-118.318129,34.0978983
627 N Euclid St,Anaheim,-117.9438326,33.8403667
3525 W 3rd St #6,Los Angeles,-118.292356,34.0692874
153 E Garvey Ave,Monterey Park,-118.1215473,34.0626531
13776 Jamboree Rd,Irvine,-117.7896593,33.7233265
501 W Garvey Ave,Monterey Park,-118.1293009,34.0626644
800 Fair Oaks Ave,South Pasadena,-118.1501373,34.1167016
23120 Lyons Ave Ste 6,Santa Clarita,-118.5371518,34.3796187
401 S Magnolia Ave,Anaheim,-117.976249,33.826985
1164 Galleria Way,Glendale,-118.2584625,34.144031
5803 N Figueroa St,Los Angeles,-118.1919093,34.1105665
2 E Colorado Blvd,Pasadena,-118.1503311,34.1456235
18156 Colima Rd,Rowland Heights,-117.9076185,33.9881717
17515 Colima Rd B,City of Industry,-117.9236267,33.9914669
18732 Amar Rd,Walnut,-117.8934285,34.0267486
149 N Glassell St,Orange,-117.8528697,33.789145
7318 Santa Monica Blvd Suite 60,West Hollywood,-118.3497463,34.0902006
700 N Spring St,Los Angeles,-118.2375705,34.0599178
19520 Nordhoff St #4,Northridge,-118.5582082,34.2342974
2153 Brea Mall,Brea,-117.8860274,33.9158377
8526 Valley Blvd #113,Rosemead,-118.0829037,34.0801549
17980 Castleton St,City of Industry,-117.9127254,33.9920111
3910 E Chapman Ave,Orange,-117.8117659,33.7874348
453 Los Cerritos Center,Cerritos,-118.092912,33.86041489999999
10250 Santa Monica Blvd Ste 2400,Los Angeles,-118.4172774,34.0581938
919 W Duarte Rd,Monrovia,-118.0182427,34.1317838
1552 S Azusa Ave suite b,City of Industry,-117.9309385,33.9942663
2740 W Olympic Blvd #3,Los Angeles,-118.2930657,34.0520068
400 S Baldwin Ave #M5,Arcadia,-118.0518497,34.1350325
9300 Culver Blvd Unit 117,Culver City,-118.3933009,34.0246419
5718 E 7th St,Long Beach,-118.1200698,33.7748327
1693 Artesia Blvd,Gardena,-118.3064735,33.8733243
9571 Valley View St,Cypress,-118.0286264,33.8226958
165 N Glassell St,Orange,-117.852801,33.7893428
704 W Las Tunas Dr,San Gabriel,-118.1099215,34.1020318
2 Hutton Centre Dr #202,Santa Ana,-117.865009,33.6996043
17662 17th St,Tustin,-117.8236034,33.7590027
3109 W Olympic Blvd B,Los Angeles,-118.3035009,34.0528785
2923 Chino Ave h3,Chino Hills,-117.7417813,34.009472
701 W Garvey Ave,Monterey Park,-118.1322099,34.0626207
8256 Beverly Blvd,Los Angeles,-118.369861,34.075852
1241 Grand Ave a #A,Diamond Bar,-117.8094522,34.0000269
24602 Raymond Way H,Lake Forest,-117.7021243,33.6207813
1535 E Colorado Blvd,Pasadena,-118.1186872,34.1462351
500 W Main St,Alhambra,-118.1321981,34.0922794
2099 S Atlantic Blvd suite a,Monterey Park,-118.143868,34.0399093
960 N Broadway,Los Angeles,-118.2363889,34.0655556
239 E Colorado Blvd,Pasadena,-118.1455119,34.1461177
3948 Peck Rd,El Monte,-118.021158,34.0768599
500 N Atlantic Blvd suite 200,Monterey Park,-118.1336572,34.0694168
1822 Westwood Blvd,Los Angeles,-118.4359369,34.0492685
3333 Bristol St Ste Ste 2071,Costa Mesa,-117.8880852,33.6916745
2575 Pacific Coast Hwy,Torrance,-118.3293561,33.7911424
9635 Reseda Blvd,Northridge,-118.5370086,34.2456698
210 Alpine St,Los Angeles,-118.2376183,34.0619013
3591 E Foothill Blvd,Pasadena,-118.0755727,34.151169
11510 South St,Cerritos,-118.0884462,33.8580674
50 N La Cienega Blvd #130,Beverly Hills,-118.3760051,34.0672905
11688 South St #105,Artesia,-118.0847881,33.8572845
12050 Ventura Blvd,Studio City,-118.3946552,34.1428798
3477 E Imperial Hwy,Brea,-117.85,33.9083333
146 S Lake Ave #105,Pasadena,-118.1317237,34.1430637
9211 Bolsa Ave Suite 106,Westminster,-117.9679996,33.7451765
333 E Huntington Dr,Arcadia,-118.0226346,34.1403874
402 S San Gabriel Blvd Ste A,San Gabriel,-118.0907265,34.0977157
1655 S Azusa Ave,Hacienda Heights,-117.9334418,33.992006
960 N Hill St,Los Angeles,-118.2376414,34.0660293
3112 Newport Blvd,Newport Beach,-117.9302445,33.6158059
23460 Cinema Dr Unit C,Valencia,-118.5465109,34.4192149
404 S Atlantic Blvd,Monterey Park,-118.1330263,34.0585526
10905 Lindbrook Dr,Los Angeles,-118.4449799,34.0597309
2107 Pacific Coast Hwy,Lomita,-118.3177183,33.7897069
11058 Santa Monica Blvd,Los Angeles,-118.4431321,34.0476029
1403 2nd St,Santa Monica,-118.4965486,34.0147148
640 North Broadway Situ1,"638 N Broadway, Los Angeles",-118.2395133,34.0597071
430 S Anaheim Blvd,Anaheim,-117.912316,33.83184
809 N Hill St,Los Angeles,-118.2397565,34.0631225
3333 Bristol Street,"BLM, 1 Bloomingdale's, Costa Mesa",-117.8877892,33.6887337
1636 W Redondo Beach Blvd,Gardena,-118.3052163,33.8891432
17267 Ventura Blvd,Encino,-118.509115,34.161501
4518 Maine Ave,Baldwin Park,-117.9603696,34.0944874
819 N Broadway,Los Angeles,-118.2382179,34.0629657
827 W Las Tunas Dr,San Gabriel,-118.1119796,34.1027269
9250 Reseda Blvd #8,Northridge,-118.5350248,34.238739
55 E Duarte Rd UNIT 101,Arcadia,-118.0288817,34.1299632
748 E Colorado Blvd,Pasadena,-118.1349061,34.1457447
13018 Harbor Blvd,Garden Grove,-117.9185751,33.7740276
18194 Colima Rd,Rowland Heights,-117.9069795,33.9873394
2803 S Diamond Bar Blvd,Diamond Bar,-117.8388752,33.9748032
18219 B Gale Ave,City of Industry,-117.9065565,33.9965032
8772 Valley Blvd,Rosemead,-118.078174,34.0803691
18406 Colima Rd E,Rowland Heights,-117.903077,33.9874276
500 E Valley Blvd Unit C&D,San Gabriel,-118.0944208,34.0798023
1056 Walnut Ave,Tustin,-117.8273695,33.7314463
4230 Barranca Pkwy,Irvine,-117.805635,33.6816753
958 N Diamond Bar Blvd,Diamond Bar,-117.8053144,34.0352732
8752 Valley Blvd,Rosemead,-118.078657,34.0803978
2710 Alton Pkwy #215,Irvine,-117.8342317,33.6878354
11095 Warner Ave,Fountain Valley,-117.9354772,33.7167459
2419 Park Ave,Tustin,-117.8284182,33.69789900000001
3967 Irvine Blvd,Irvine,-117.7710501,33.7232162
10250 Santa Monica Blvd Ste 2610,Los Angeles,-118.4187477,34.0595943
3454 Wilshire Blvd,Los Angeles,-118.299784,34.061458
18 W Green St,Pasadena,-118.1508406,34.1444188
15361 Culver Dr,Irvine,-117.7983759,33.6947821
400 S Baldwin Ave Suite 2015,Arcadia,-118.0529968,34.1333726
18268 Gale Ave B,City of Industry,-117.9053499,33.9957662
120 S Atlantic Blvd,Monterey Park,-118.1339222,34.0617972
18001 Pioneer Blvd C,Artesia,-118.0825875,33.8675755
15606 Brookhurst St Suite E,Westminster,-117.953779,33.736382
33 W Main St,Alhambra,-118.1276688,34.094944
19524 Nordhoff St ste#3,Northridge,-118.5588289,34.2348246
1560 S Azusa Ave Unit 178,City of Industry,-117.9270706,33.9945854
1380 Fullerton Rd #104,Rowland Heights,-117.9016031,33.9932484
251 W Bencamp St,San Gabriel,-118.102892,34.0788769
1722 Desire Ave #101,Rowland Heights,-117.8958526,33.9869671
14140 Culver Dr,Irvine,-117.7826251,33.7074187
4595 Barranca Pkwy,Irvine,-117.7995896,33.6788758
55 W Green St,Pasadena,-118.1517196,34.1447402
5701 Rosemead Blvd,Temple City,-118.0738017,34.1038276
20657 Golden Springs Dr UNIT 206,Diamond Bar,-117.853727,33.99796240000001
13876 Brookhurst St #3173,Garden Grove,-117.9533333,33.7613889
18938 Labin Ct #101A,Rowland Heights,-117.8907297,33.992591
15488 S Western Ave,Gardena,-118.3088497,33.8892119
US California Torrance,"3525 Pacific Coast Hwy, #O",-118.3470443,33.80387839999999
206 S 1st Ave,Arcadia,-118.0281548,34.1375949
14130 Culver Dr Unit L,Irvine,-117.7819713,33.7079128
153 W Garvey Ave,Monterey Park,-118.1241361,34.0626455
6018,"13089 Peyton Dr, Chino Hills",-117.7441176,34.0147538
1370 Fullerton Rd,Rowland Heights,-117.9026427,33.9933094
3926 Grand Ave F,Chino,-117.7182658,34.0000583
301 W Valley Blvd Ste. #112,San Gabriel,-118.1042977,34.0802264
138 E Garvey Ave #C,Monterey Park,-118.1218256,34.0623485
9240 Garden Grove Blvd,Garden Grove,-117.9704417,33.7732551
2020 S Hacienda Blvd,Hacienda Heights,-117.9666731,33.995906
18558 Gale Ave Suite 122-128,Rowland Heights,-117.8998631,33.9949524
12145 Valley View St unit 103,Garden Grove,-118.0294258,33.7862826
3377 Wilshire Blvd #110,Los Angeles,-118.2976682,34.0624557
301 E Garvey Ave,Monterey Park,-118.1186428,34.0628459
2415 Park Ave,Tustin,-117.8286242,33.6979897
425 S Western Ave STE # E,Los Angeles,-118.3096256,34.0664324
18932 Gale Ave,Rowland Heights,-117.888884,33.9960525
46 W Valley Blvd,Alhambra,-118.1241087,34.0783397
15900 Crenshaw Blvd unit c,Gardena,-118.3260127,33.8865069
1428 S Azusa Ave Suite B,West Covina,-117.9075601,34.0475842
3033 Bristol St C,Costa Mesa,-117.8861677,33.6812772
18246 Gale Ave STE B,Rowland Heights,-117.9052823,33.9954923
2323 E Chapman Ave Ste B,Fullerton,-117.8905097,33.87442
4152 Norse Way,Long Beach,-118.1416811,33.8335223
2373 Pacific Coast Hwy,Lomita,-118.3251271,33.7897797
6333 W 3rd St # 508,Los Angeles,-118.3609261,34.0722669
932 Huntington Dr,San Marino,-118.12586,34.1120346
700 Valley Blvd,Alhambra,-118.130907,34.0778834
15325 S Western Ave,Gardena,-118.3093445,33.89244710000001
5141 Beach Blvd Unit B,Buena Park,-117.9958169,33.8862703
117 N Lincoln Ave,Monterey Park,-118.1215725,34.0633718
3377 Wilshire Blvd #100,Los Angeles,-118.2976967,34.0620244
10953 Venice Blvd.,Los Angeles,-118.4135482,34.0153075
11803 South St,Cerritos,-118.0817081,33.859016
15333 Culver Dr #320,Irvine,-117.7993508,33.6960666
120 W Foothill Blvd,Monrovia,-118.0014833,34.150099
8526 Valley Blvd #108,Rosemead,-118.0826633,34.080166
3963 Irvine Blvd,Irvine,-117.7712603,33.7232907
14622 Ventura Blvd #101,Sherman Oaks,-118.4526231,34.1513458
5219 1/2 Laurel Canyon Blvd,Valley Village,-118.3970892,34.1654564
1935 S Atlantic Blvd,Monterey Park,-118.142136,34.0415289
1408 E Valley Blvd,Alhambra,-118.1095456,34.0789091
5930 Main St,Los Angeles,-118.2735507,33.9863838
936 Broxton Ave,Los Angeles,-118.4468466,34.0629957
9887 Alondra Blvd,Bellflower,-118.122314,33.889755
20657 Golden Springs Dr #104-105,Diamond Bar,-117.853727,33.99796240000001
8518 Valley Blvd,Rosemead,-118.0835419,34.0792756
944 W Foothill Blvd,Claremont,-117.732734,34.1063845
3314 S Bristol St,Santa Ana,-117.8861504,33.7033804
87 E Colorado Blvd,Pasadena,-118.1486182,34.1459397
1611A S Azusa Ave,Hacienda Heights,-117.9329805,33.9933181
6200 Scholarship,Irvine,-117.8524645,33.6660121
400 S Baldwin Ave Ste M10,Arcadia,-118.0520754,34.1351239
1345 S Diamond Bar Blvd j,Diamond Bar,-117.8136535,33.9975597
1167 E Alosta Ave,Azusa,-117.8819479,34.1296674
7100 Santa Monica Blvd SUITE 130,West Hollywood,-118.3446476,34.0903568
14328 Telegraph Rd,Whittier,-118.0266205,33.92613000000001
4183 Chino Hills Pkwy P,Chino Hills,-117.7146626,33.9812984
3850 Barranca Pkwy Suite E,Irvine,-117.8118434,33.6840404
5301 Sunset Blvd #8,Los Angeles,-118.3061549,34.0985826
48 Live Oak Ave,Arcadia,-118.0285762,34.1074502
921 S Baldwin Ave Ste G-H,Arcadia,-118.0548535,34.1291086
4356 Fountain Ave,Los Angeles,-118.2848647,34.0954567
2117 Sawtelle Blvd,Los Angeles,-118.4424563,34.0390491
19755 Colima Rd,Rowland Heights,-117.8720891,33.9866344
4754 Pacific Coast Hwy,Long Beach,-118.1387027,33.7865087
9329 Valley Blvd,Rosemead,-118.0662053,34.0812563
807 N Tustin St,Orange,-117.8353952,33.8007073
8636 S Sepulveda Blvd,Los Angeles,-118.3958708,33.9587705
2947 Chino Ave #3,Chino Hills,-117.7410899,34.0093019
1025 S Baldwin Ave,Arcadia,-118.0553054,34.1279741
7075 Sunset Blvd,Los Angeles,-118.343966,34.098565
68 Rio Rancho Rd #106,Pomona,-117.7607473,34.02813750000001
1767 Westwood Blvd,Los Angeles,-118.4382242,34.0505683
644 W Garvey Ave,Monterey Park,-118.1314865,34.0621551
958 E Garvey Ave,Monterey Park,-118.109625,34.0621657
